,duodenalbulb,esophagus,pylorus,stomach,zline
duodenalbulb,0.96875,0.0,0.03125,0.0,0.0
esophagus,0.0,0.6666666666666666,0.0,0.047619047619047616,0.2857142857142857
pylorus,0.004555808656036446,0.0,0.9658314350797267,0.029612756264236904,0.0
stomach,0.0012610340479192938,0.0,0.0069356872635561164,0.9899117276166457,0.0018915510718789407
zline,0.0,0.0,0.005263157894736842,0.0,0.9947368421052631
